favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str
329,Twitter for iPhone,Jair Bolsonaro é recebido por multidão no aeroporto de João Pessoa-PB. https://t.co/OLz5OEQvdb,,False,Thu Nov 19 21:00:58 +0000 2015,128,667447495539212288
385,Twitter Web Client,"BOLSONARO, O ‘TRUMP’ BRASILEIRO EM 2018: PRECISAMOS D OPÇÕES FORA DO EIXO PT–PSDB E CONTRA O POLITICAMENTE CORRETO. http://t.co/1ZTtndTvFv",,False,Thu Oct 01 14:38:33 +0000 2015,172,649594252629012480
101,Twitter for iPhone,"Para saber mais informações sobre nossa linha de atuação, peço, se possível, seguirem @CarlosBolsonaro @bolsonarosp e @FlavioBolsonaro . 🇧🇷",,False,Tue Oct 06 12:20:00 +0000 2015,44,651371327232831488
242,Twitter for iPhone,MOVIMENTO PARLAMENTAR PRÓ-IMPEACHMENT. Segue site c/ petição a ser assinada pelo impeachment. http://t.co/zVG1E3HwmG,,False,Thu Sep 10 18:25:41 +0000 2015,240,642041269338963968
213,Twitter for iPhone,EDUCAÇÃO segundo Bolsonaro. http://t.co/jgcHc4Vpw3,,False,Mon Jun 29 15:19:07 +0000 2015,123,615540002932551681
201,Twitter for iPhone,Meu garoto!!! 👍 https://t.co/y3QbG48gCM,,False,Fri Aug 07 21:21:49 +0000 2015,81,629764405266382849
113,Twitter for iPhone,RESUMO: Oportunidade de expor alguns pontos q infelizmente ñ interessa à Grande Mídia. http://t.co/33HeXMeoB9,,False,Tue Aug 25 00:13:49 +0000 2015,66,635968283997552642
381,Twitter Web Client,"Bolsonaro aciona MP contra Lula pela evidente prática de crime contra a segurança nacional, ordem política e social. http://t.co/Fo4B8DdgB2",,False,Mon Mar 02 11:46:58 +0000 2015,436,572362456988831746
566,Twitter for iPhone,"Ex-marido de Dilma explica como mantinha seu relacionamento amoroso: assaltando bancos, roubando caminhões e armas. https://t.co/rMJSe8ggXb",,False,Tue Dec 29 14:19:43 +0000 2015,494,681842035268128772
136,Twitter for iPhone,A farsa da 121 mil vidas poupadas graças ao Estatuto do Desarmamento. (Via @benebarbosa_mvb ) http://t.co/GN4dAL2A1k,,False,Sat May 02 12:10:13 +0000 2015,147,594473966540103680
